organization,row_count,logo_file,classification,acronym_needed,display_name,aws_logo_url,search_aliases,logo_filename,vertical,org_type,logo_url
Lam Research,3,Lam_Research.png,tenant,,Lam Research,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lam_Research.png,,,,,
Potomac Investment Properties,4,Potomac_Investment_Properties.png,,,Potomac Investment,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Potomac_Investment_Properties.png,potomac investment|Potomac Investment,,,,
United States Conference Of Catholic Bishops,0,United_States_Conference_Of_Catholic_Bishops.png,,,US Catholic Bishops,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/United_States_Conference_Of_Catholic_Bishops.png,us catholic bishops|US Catholic Bishops,,,,
Lindon Associates,0,Lindon_Associates.png,,,Lindon Assoc,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lindon_Associates.png,,,,,
Napa County,4,Napa_County.png,owner/occupier,,Napa County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Napa_County.png,napa,,,,
Fatollah Hematian,4,Fatollah_Hematian.png,,,Fatollah Hematian,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fatollah_Hematian.png,,,,,
Marx Realty,5,Marx_Realty.png,owner,,Marx Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Marx_Realty.png,,,,,
The American Institute Of Architects,0,The_American_Institute_Of_Architects.png,,,AIA Architects,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_American_Institute_Of_Architects.png,aia architects|AIA Architects,,,,
Manova Partners Inc.,5,Manova_Partners_Inc.png,owner,,Manova Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Manova_Partners_Inc.png,manova partners|Manova Partners,,,,
Nike,3,Nike.png,owner/occupier,,Nike,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Nike.png,,,,,
Vaughn College Of Aeronautics And Technology,0,Vaughn_College_Of_Aeronautics_And_Technology.png,,,Vaughn College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Vaughn_College_Of_Aeronautics_And_Technology.png,Vaughn College|vaughn college,,,,
Visa,4,Visa.png,owner/occupier,,Visa,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Visa.png,,,,,
UBS Realty Investors,0,UBS_Realty_Investors.png,,,UBS Realty Investors,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/UBS_Realty_Investors.png,,,,,
University Of The District Of Columbia,4,University_Of_The_District_Of_Columbia.png,tenant,,DC University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/University_Of_The_District_Of_Columbia.png,Capitol|DC|District|DMV|Federal|The District|u of the|u of the district of columbia|UDC|udc|utdoc|Washington|Washington DC|WDC,,,,
Integris Ventures,0,Integris_Ventures.png,,,Integris Ventures,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Integris_Ventures.png,,,,,
Ranken Technical College,4,Ranken_Technical_College.png,owner,,Ranken Technical College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ranken_Technical_College.png,,,,,
Jamaica Hospital,4,Jamaica_Hospital.png,tenant,,Jamaica Hospital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jamaica_Hospital.png,,,,,
Drury Development Corporation,4,Drury_Development_Corporation.png,owner,,Drury Development,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Drury_Development_Corporation.png,drury development|Drury Development,,,,
The Doyle Collection,4,The_Doyle_Collection.png,owner,,Doyle Collection,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Doyle_Collection.png,Doyle Collection|doyle collection,,,,
Drury Hotels,4,Drury_Hotels.png,tenant,,Drury Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Drury_Hotels.png,,,,,
Denver Police Department (DPD),0,Denver_Police_Department_DPD.png,tenant,,Denver Police,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Denver_Police_Department_DPD.png,Denver Police|denver police|DPD,,,,
Realty Income Corporation,3,Realty_Income_Corporation.png,owner/operator,,Realty Income,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Realty_Income_Corporation.png,Realty Income|realty income,,,,
Dst Realty INC,4,Dst_Realty_INC.png,owner,,Dst Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Dst_Realty_INC.png,dst realty|Dst Realty,,,,
Rockhurst University,4,Rockhurst_University.png,owner,,Rockhurst University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rockhurst_University.png,ru,,,,
Schnucks,3,Schnucks.png,tenant,,Schnucks,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Schnucks.png,,,,,
Cp Property Owner LLC,4,Cp_Property_Owner_LLC.png,owner,,Cp Property Owner,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cp_Property_Owner_LLC.png,cp property owner|Cp Property Owner,,,,
Edward J. Minskoff Equities,5,Edward_J_Minskoff_Equities.png,owner,,Minskoff Equities,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Edward_J_Minskoff_Equities.png,Minskoff|minskoff,,,,
Eretz Group,4,Eretz_Group.png,owner,,Eretz Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Eretz_Group.png,,,,,
A.R.I Investors Inc,3,A_R_I_Investors_Inc.png,property manager,,A.R.I Investors,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/A_R_I_Investors_Inc.png,A.R.I Investors|a.r.i investors,,,,
ShopRite,4,ShopRite.png,tenant,,ShopRite,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/ShopRite.png,,,,,
Centaur Properties,4,Centaur_Properties.png,owner,,Centaur Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Centaur_Properties.png,,,,,
Princeton International Properties,4,Princeton_International_Properties.png,property manager,,Princeton International,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Princeton_International_Properties.png,Princeton International|princeton international,,,,
Unity Health Care,4,Unity_Health_Care.png,tenant,,Unity Health Care,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Unity_Health_Care.png,,,,,
"Stoladi Property Group, Inc.",8,Stoladi_Property_Group_Inc.png,property manager,,Stoladi Property Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stoladi_Property_Group_Inc.png,stoladi property group|Stoladi Property Group,,,,
Children's National Medical Center,3,Children_s_National_Medical_Center.png,owner/occupier,,Children's National,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Children_s_National_Medical_Center.png,Children's National|children's national,,,,
Commonwealth Of Pennsylvania,5,Commonwealth_Of_Pennsylvania.png,owner,,PA State Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Commonwealth_Of_Pennsylvania.png,Keystone|PA|Penn|pennsylvania|Pennsylvania,,,,
Republic Properties Corporation,3,Republic_Properties_Corporation.png,owner,,Republic Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Republic_Properties_Corporation.png,republic properties|Republic Properties,,,,
Cornish College Of The Arts,4,Cornish_College_Of_The_Arts.png,owner,,Cornish College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cornish_College_Of_The_Arts.png,Cornish College|cornish college,,,,
Kimpton Hotels,4,Kimpton_Hotels.png,tenant,,Kimpton Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kimpton_Hotels.png,,,,,
Philadelphia Fire Department (Pfd),0,Philadelphia_Fire_Department_Pfd.png,tenant,,Philadelphia Fire,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Philadelphia_Fire_Department_Pfd.png,philadelphia fire|Philadelphia Fire,,,,
Philadelphia Police Department (Ppd),0,Philadelphia_Police_Department_Ppd.png,tenant,,Philadelphia Police,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Philadelphia_Police_Department_Ppd.png,Philadelphia Police|philadelphia police|Philly Police|PPD,,,,
Holy Family University,4,Holy_Family_University.png,owner,,Holy Family University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Holy_Family_University.png,hfu,,,,
Maimonides Medical Center,4,Maimonides_Medical_Center.png,owner/occupier,,Maimonides Medical Center,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Maimonides_Medical_Center.png,,,,,
Ellman Realty Advisors,5,Ellman_Realty_Advisors.png,property manager,,Ellman Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ellman_Realty_Advisors.png,Ellman Realty|ellman realty,,,,
Fashion Options,4,Fashion_Options.png,tenant,,Fashion Options,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fashion_Options.png,,,,,
St. John's University,4,St_John_s_University.png,owner/occupier,,St. John's University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/St_John_s_University.png,sju,,,,
Nicotra Group,4,Nicotra_Group.png,owner,,Nicotra Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Nicotra_Group.png,,,,,
Silvercup Studios,4,Silvercup_Studios.png,owner/occupier,,Silvercup Studios,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Silvercup_Studios.png,,,,,
Fordham University,4,Fordham_University.png,owner/occupier,,Fordham,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fordham_University.png,Bronx|Fordham|fordham|fu|Rams|Rose Hill,,,,
COPT Defense Properties,0,COPT_Defense_Properties.png,,,COPT Defense,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/COPT_Defense_Properties.png,COPT Defense|copt defense,,,,
Spectrum Properties Group Inc.,9,Spectrum.png,,,Spectrum Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Spectrum.png,spectrum properties|Spectrum Properties,,,,
Wagner College,0,Wagner_College.png,,,Wagner College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Wagner_College.png,,,,,
MHF,4,MHF.png,,,MHF,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/MHF.png,,,,,
American College Of Cardiology,0,American_College_Of_Cardiology.png,,,Am. College Cardiology,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/American_College_Of_Cardiology.png,am. college cardiology|Am. College Cardiology,,,,
Yuba College,0,Yuba_College.png,,,Yuba College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Yuba_College.png,,,,,
Woodbury University,0,Woodbury_University.png,,,Woodbury University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Woodbury_University.png,wu,,,,
West Side Realty,0,West_Side_Realty.png,,,West Side Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/West_Side_Realty.png,,,,,
Santa Rosa Junior College,0,Santa_Rosa_Junior_College.png,,,Santa Rosa Junior College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Santa_Rosa_Junior_College.png,,,,,
Tri-City Medical Center,0,Tri-City_Medical_Center.png,,,Tri-City Medical Center,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Tri-City_Medical_Center.png,,,,,
Lawrence Group,4,Lawrence_Group.png,,,Lawrence Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lawrence_Group.png,,,,,
Stoddard Baptist Home INC,0,Stoddard_Baptist_Home_INC.png,,,Stoddard Baptist Home,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stoddard_Baptist_Home_INC.png,stoddard baptist home|Stoddard Baptist Home,,,,
St. Joseph's College,0,St_Josephs_College.png,,,St. Joseph's College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/St_Josephs_College.png,,,,,
St Pauls Senior Services,0,St_Pauls_Senior_Services.png,,,St Pauls Senior Services,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/St_Pauls_Senior_Services.png,,,,,
Sierra College,0,Sierra_College.png,,,Sierra College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sierra_College.png,,,,,
American Chemical Society,0,American_Chemical_Society.png,,,American Chemical Society,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/American_Chemical_Society.png,,,,,
Touro College,0,Touro_College.png,,,Touro College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Touro_College.png,,,,,
Seattle University,0,Seattle_University.png,,,Seattle University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Seattle_University.png,Redhawks|Seattle|su|SU,,,,
University Of The Arts,0,University_Of_The_Arts.png,,,University of the Arts,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/University_Of_The_Arts.png,u of the|u of the arts|uta,,,,
Saint Joseph's University,0,Saint_Josephs_University.png,,,Saint Joseph's University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Saint_Josephs_University.png,sju,,,,
Ares Management,4,Ares_Management.png,owner/operator,,Ares Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ares_Management.png,,,,,
Pace University,0,Pace_University.png,,,Pace University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pace_University.png,pu,,,,
Ruthenium LLC,0,Ruthenium_LLC.png,,,Ruthenium,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ruthenium_LLC.png,Ruthenium|ruthenium,,,,
Yeshivath Kehilat Yaakov (New York),0,Yeshivath_Kehilat_Yaakov_New_York.png,,,Yeshivath Kehilat Yaakov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Yeshivath_Kehilat_Yaakov_New_York.png,yeshivath kehilat yaakov|Yeshivath Kehilat Yaakov,,,,
St. Barnabas Hosital,0,St_Barnabas_Hosital.png,,,St. Barnabas Hosital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/St_Barnabas_Hosital.png,,,,,
Wright State University,0,Wright_State_University.png,,,Wright State University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Wright_State_University.png,wsu,,,,
Lutheran School Of Theology At Chicago,0,Lutheran_School_Of_Theology_At_Chicago.png,,,Lutheran Theology Chicago,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lutheran_School_Of_Theology_At_Chicago.png,Lutheran Theology Chicago|lutheran theology chicago,,,,
American Legion,0,American_Legion.png,,,American Legion,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/American_Legion.png,,,,,
Fortinet,4,Fortinet.png,,,Fortinet,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fortinet.png,,,,,
Rancho Santiago Community College District,0,Rancho_Santiago_Community_College_District.png,,,Rancho Santiago CC,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rancho_Santiago_Community_College_District.png,rancho santiago cc|Rancho Santiago CC,,,,
Samsung,0,Samsung.png,,,Samsung,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Samsung.png,,,,,
Richmond Medical Center,0,Richmond_Medical_Center.png,,,Richmond Medical Center,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Richmond_Medical_Center.png,,,,,
Center City Public Charter Schools,0,Center_City_Public_Charter_Schools.png,,,Center City Charter,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Center_City_Public_Charter_Schools.png,center city charter|Center City Charter,,,,
Massachusetts College Of Pharmacy And Health Sciences,0,Massachusetts_College_Of_Pharmacy_And_Health_Sciences.png,,,Mass Pharmacy College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Massachusetts_College_Of_Pharmacy_And_Health_Sciences.png,MCPHS|mcphs,,,,
Martin Selig Real Estate,0,Martin_Selig_Real_Estate.png,,,Martin Selig,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Martin_Selig_Real_Estate.png,martin selig|Martin Selig,,,,
Hotel 21,4,Hotel_21.png,,,Hotel 21,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hotel_21.png,,,,,
Circle Realty Group,3,Circle_Realty_Group.png,,,Circle Realty Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Circle_Realty_Group.png,,,,,
TIAA,15,TIAA.png,,,TIAA,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/TIAA.png,Teachers Insurance|TIAA|TIAA-CREF,,,,
TMT Development,3,TMT_Development.png,,,TMT Development,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/TMT_Development.png,,,,,
Douglas Elliman,4,Douglas_Elliman.png,,,Douglas Elliman,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Douglas_Elliman.png,,,,,
Winoker Realty,4,Winoker_Realty.png,,,Winoker Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Winoker_Realty.png,,,,,
Amda College And Conservatory Of The Performing Arts,0,Amda_College_And_Conservatory_Of_The_Performing_Arts.png,,,AMDA Performing Arts,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Amda_College_And_Conservatory_Of_The_Performing_Arts.png,AMDA|amda,,,,
Rockefeller Group,4,Rockefeller_Group.png,,,Rockefeller Group,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rockefeller_Group.png,,,,,
Yeshivat Darche Eres (New York),0,Yeshivat_Darche_Eres_New_York.png,,,Yeshivat Darche Eres,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Yeshivat_Darche_Eres_New_York.png,yeshivat darche eres|Yeshivat Darche Eres,,,,
Ralphs,4,Ralphs.png,,,Ralphs,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ralphs.png,,,,,
Rice,4,Rice.png,,,Rice,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rice.png,Houston|Owls|Rice|T Rowe|T. Rowe Price|TROW,,,,
Nightingale Properties LLC,4,Nightingale_Properties_LLC.png,,,Nightingale,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Nightingale_Properties_LLC.png,nightingale|Nightingale,,,,
Heritage Foundation,0,Heritage_Foundation.png,,,Heritage Foundation,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Heritage_Foundation.png,,,,,
Arizona Tile LLC,0,Arizona_Tile_LLC.png,,,Arizona Tile,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Arizona_Tile_LLC.png,Arizona Tile|arizona tile,,,,
Workday,0,Workday.png,,,Workday,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Workday.png,WDAY|Workday,,,,
Swig Company,15,Swig_Company.png,,,Swig Company,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Swig_Company.png,Swig|swig,,,,
Ohlone College,0,Ohlone_College.png,,,Ohlone College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ohlone_College.png,,,,,
Allan Hancock College,0,Allan_Hancock_College.png,,,Allan Hancock College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Allan_Hancock_College.png,,,,,
USL Property Management,0,USL_Property_Management.png,,,USL Property,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/USL_Property_Management.png,USL Property|usl property,,,,
Samson,4,Samson.png,,,Samson,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Samson.png,,,,,
American Federation Of Government Employees,0,American_Federation_Of_Government_Employees.png,,,AFGE Federal Employees,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/American_Federation_Of_Government_Employees.png,AFGE Federal Employees|afge federal employees,,,,
International Brhood Of Teamsters,0,International_Brotherhood_Of_Teamsters.png,,,Teamsters,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/International_Brotherhood_Of_Teamsters.png,Teamsters|teamsters,,,,
The Peebles Corporation,0,The_Peebles_Corporation.png,,,Peebles,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Peebles_Corporation.png,peebles|Peebles,,,,
ADAM Asset Mgmt,4,ADAM_Asset_Mgmt.png,,,ADAM Asset Mgmt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/ADAM_Asset_Mgmt.png,,,,,
Barnard College,0,Barnard_College.png,,,Barnard College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Barnard_College.png,,,,,
Pepperdine University,0,Pepperdine_University.png,,,Pepperdine,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pepperdine_University.png,Malibu|Pepperdine|pepperdine|pu|Waves,,,,
Mission Language And Vocational School,0,Mission_Language_And_Vocational_School.png,,,Mission Language School,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Mission_Language_And_Vocational_School.png,mission language school|Mission Language School,,,,
Las Positas College,0,Las_Positas_College.png,,,Las Positas College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Las_Positas_College.png,,,,,
Palomar College,0,Palomar_College.png,,,Palomar College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Palomar_College.png,,,,,
Pacific Northwest College Of Art,0,Pacific_Northwest_College_Of_Art.png,,,PNCA Art College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pacific_Northwest_College_Of_Art.png,PNCA Art College|pnca art college,,,,
Long Island University,0,Long_Island_University.png,,,Long Island University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Long_Island_University.png,liu,,,,
"Monarchs Sub, LLC",4,Monarchs_Sub_LLC.png,owner,,Monarchs Sub,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Monarchs_Sub_LLC.png,monarchs sub|Monarchs Sub,,,,
Atria Senior Living,4,Atria_Senior_Living.png,property manager,,Atria Senior Living,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Atria_Senior_Living.png,,,,,
"RB Properties, Inc.",0,RB_Properties_Inc.png,property manager,,RB Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/RB_Properties_Inc.png,RB Properties|rb properties,,,,
"Sweetgreen - Healthy Salads, Bowls And Plates",3,Sweetgreen_Healthy_Salads_Bowls_And_Plates.png,tenant,,Sweetgreen,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sweetgreen_Healthy_Salads_Bowls_And_Plates.png,sweetgreen|Sweetgreen,,,,
Jewish Family Service,0,Jewish_Family_Service.png,,,Jewish Family Service,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jewish_Family_Service.png,,,,,
Boston Symphony Orchestra,0,Boston_Symphony_Orchestra.png,,,Boston Symphony Orchestra,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Boston_Symphony_Orchestra.png,,,,,
Irvine Valley College,0,Irvine_Valley_College.png,,,Irvine Valley College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Irvine_Valley_College.png,,,,,
Gemological Institute Of America,0,Gemological_Institute_Of_America.png,,,GIA Gemology,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Gemological_Institute_Of_America.png,gia gemology|GIA Gemology,,,,
Coppola Too Winery,0,Coppola_Too_Winery.png,,,Coppola Too Winery,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Coppola_Too_Winery.png,,,,,
Genest Properties,0,Genest_Properties.png,,,Genest Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Genest_Properties.png,,,,,
Camping World,0,Camping_World.png,,,Camping World,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Camping_World.png,,,,,
Fresno County,3,Fresno_County.png,owner,,Fresno County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fresno_County.png,fresno,,,,
Brooklyn Public Library,0,Brooklyn_Public_Library.png,,,Brooklyn Public Library,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brooklyn_Public_Library.png,,,,,
Willco Companies,5,Willco_Companies.png,owner,,Willco Companies,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Willco_Companies.png,,,,,
Pendulum Property Partners,4,Pendulum_Property_Partners.png,owner,,Pendulum Property,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Pendulum_Property_Partners.png,pendulum property|Pendulum Property,,,,
General Nutrition Centers (GNC),0,General_Nutrition_Centers_GNC.png,tenant,,GNC,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/General_Nutrition_Centers_GNC.png,GNC|gnc,,,,
Hackman Capital Partners,4,Hackman_Capital_Partners.png,owner/operator,,Hackman Capital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hackman_Capital_Partners.png,hackman capital|Hackman Capital,,,,
Cabrillo College,0,Cabrillo_College.png,,,Cabrillo College,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cabrillo_College.png,,,,,
Walt Disney Imagineering,12,Walt_Disney_Imagineering.png,owner,,Disney Imagineering,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Walt_Disney_Imagineering.png,Disney Imagineering|disney imagineering,,,,
Sony,3,Sony.png,tenant,,Sony,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sony.png,,,,,
Aerotek,3,Aerotek.png,tenant,,Aerotek,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Aerotek.png,,,,,
West Coast University,4,West_Coast_University.png,owner/occupier,,West Coast U,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/West_Coast_University.png,wcu|west coast u|West Coast U,,,,
WFG National Title Insurance Company,4,WFG_National_Title_Insurance_Company.png,tenant,,WFG Title,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/WFG_National_Title_Insurance_Company.png,WFG Title|wfg title,,,,
Bixby Land Company,4,Bixby_Land_Company.png,owner,,Bixby Land,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Bixby_Land_Company.png,Bixby Land|bixby land,,,,
"Orchard Commercial, INC.",4,Orchard_Commercial_INC.png,owner,,Orchard Commercial,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Orchard_Commercial_INC.png,Orchard Commercial|orchard commercial,,,,
Rubicon Point Partners,4,Rubicon_Point_Partners.png,property manager,,Rubicon Point Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Rubicon_Point_Partners.png,,,,,
Tri City Acquisitions,4,Tri_City_Acquisitions.png,owner,,Tri City Acquisitions,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Tri_City_Acquisitions.png,,,,,
Stanislaus County,3,Stanislaus_County.png,owner,,Stanislaus County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stanislaus_County.png,stanislaus,,,,
KPB Immigration Law Firm,4,KPB_Immigration_Law_Firm.png,tenant,,KPB Immigration,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/KPB_Immigration_Law_Firm.png,kpb immigration|KPB Immigration,,,,
Mather,4,Mather.png,tenant,,Mather,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Mather.png,,,,,
Sterling Bay,4,Sterling_Bay.png,property manager,,Sterling Bay,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sterling_Bay.png,,,,,
Spear Street Capital,5,Spear_Street_Capital.png,owner,,Spear Street Capital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Spear_Street_Capital.png,,,,,
Los Angeles Film School,4,Los_Angeles_Film_School.png,owner,,LA Film School,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Los_Angeles_Film_School.png,LA Film School|la film school,,,,
